Comunidades y Ciudades Autónomas;Situación sentimental;Tiene hijos;Intención de tener hijos;Total
10 Comunitat Valenciana;Sin pareja;Total;Tiene intención de tener hijos;46.295
10 Comunitat Valenciana;Sin pareja;Total;No tiene intención de tener hijos;239.710
10 Comunitat Valenciana;Sin pareja;Sin hijos;Total;203.037
10 Comunitat Valenciana;Sin pareja;Sin hijos;Tiene intención de tener hijos;38.510
10 Comunitat Valenciana;Sin pareja;Sin hijos;No tiene intención de tener hijos;164.527
10 Comunitat Valenciana;Sin pareja;Con hijos;Total;82.968
10 Comunitat Valenciana;Sin pareja;Con hijos;Tiene intención de tener hijos;7.786
10 Comunitat Valenciana;Sin pareja;Con hijos;No tiene intención de tener hijos;75.183
10 Comunitat Valenciana;Pareja con la que convive;Total;Total;775.671
10 Comunitat Valenciana;Pareja con la que convive;Total;Tiene intención de tener hijos;148.550
10 Comunitat Valenciana;Pareja con la que convive;Total;No tiene intención de tener hijos;627.121
10 Comunitat Valenciana;Pareja con la que convive;Sin hijos;Total;123.536
10 Comunitat Valenciana;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;64.281
10 Comunitat Valenciana;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;59.254
