Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Ambas nacionalidades;Cuarto y más;1979;0,32
Total Nacional;Ambas nacionalidades;Cuarto y más;1978;0,37
Total Nacional;Ambas nacionalidades;Cuarto y más;1977;0,41
Total Nacional;Ambas nacionalidades;Cuarto y más;1976;0,44
Total Nacional;Ambas nacionalidades;Cuarto y más;1975;0,46
Total Nacional;Española;Todos;2024;1,07
Total Nacional;Española;Todos;2023;1,09
Total Nacional;Española;Todos;2022;1,12
Total Nacional;Española;Todos;2021;1,15
Total Nacional;Española;Todos;2020;1,13
Total Nacional;Española;Todos;2019;1,17
Total Nacional;Española;Todos;2018;1,2
Total Nacional;Española;Todos;2017;1,25
Total Nacional;Española;Todos;2016;1,28
Total Nacional;Española;Todos;2015;1,28
Total Nacional;Española;Todos;2014;1,27
Total Nacional;Española;Todos;2013;1,23
Total Nacional;Española;Todos;2012;1,27
Total Nacional;Española;Todos;2011;1,29
Total Nacional;Española;Todos;2010;1,3
Total Nacional;Española;Todos;2009;1,31
Total Nacional;Española;Todos;2008;1,36
Total Nacional;Española;Todos;2007;1,31
Total Nacional;Española;Todos;2006;1,31
Total Nacional;Española;Todos;2005;1,28
Total Nacional;Española;Todos;2004;1,27
Total Nacional;Española;Todos;2003;1,25
Total Nacional;Española;Todos;2002;1,21
Total Nacional;Española;Todos;2001;..
Total Nacional;Española;Todos;2000;..
Total Nacional;Española;Todos;1999;..
Total Nacional;Española;Todos;1998;..
Total Nacional;Española;Todos;1997;..
Total Nacional;Española;Todos;1996;..
Total Nacional;Española;Todos;1995;..
Total Nacional;Española;Todos;1994;..
Total Nacional;Española;Todos;1993;..
Total Nacional;Española;Todos;1992;..
Total Nacional;Española;Todos;1991;..
Total Nacional;Española;Todos;1990;..
Total Nacional;Española;Todos;1989;..
Total Nacional;Española;Todos;1988;..
Total Nacional;Española;Todos;1987;..
Total Nacional;Española;Todos;1986;..
Total Nacional;Española;Todos;1985;..
Total Nacional;Española;Todos;1984;..
Total Nacional;Española;Todos;1983;..
Total Nacional;Española;Todos;1982;..
Total Nacional;Española;Todos;1981;..
Total Nacional;Española;Todos;1980;..
Total Nacional;Española;Todos;1979;..
Total Nacional;Española;Todos;1978;..
Total Nacional;Española;Todos;1977;..
Total Nacional;Española;Todos;1976;..
Total Nacional;Española;Todos;1975;..
Total Nacional;Española;Primero;2024;0,57
Total Nacional;Española;Primero;2023;0,58
Total Nacional;Española;Primero;2022;0,6
Total Nacional;Española;Primero;2021;0,61
Total Nacional;Española;Primero;2020;0,61
Total Nacional;Española;Primero;2019;0,61
Total Nacional;Española;Primero;2018;0,62
Total Nacional;Española;Primero;2017;0,66
Total Nacional;Española;Primero;2016;0,69
Total Nacional;Española;Primero;2015;0,7
Total Nacional;Española;Primero;2014;0,7
Total Nacional;Española;Primero;2013;0,69
Total Nacional;Española;Primero;2012;0,7
Total Nacional;Española;Primero;2011;0,71
Total Nacional;Española;Primero;2010;0,72
Total Nacional;Española;Primero;2009;0,73
Total Nacional;Española;Primero;2008;0,75
Total Nacional;Española;Primero;2007;0,77
Total Nacional;Española;Primero;2006;0,72
Total Nacional;Española;Primero;2005;0,7
Total Nacional;Española;Primero;2004;0,69
Total Nacional;Española;Primero;2003;0,68
Total Nacional;Española;Primero;2002;0,65
Total Nacional;Española;Primero;2001;..
Total Nacional;Española;Primero;2000;..
Total Nacional;Española;Primero;1999;..
Total Nacional;Española;Primero;1998;..
Total Nacional;Española;Primero;1997;..
Total Nacional;Española;Primero;1996;..
Total Nacional;Española;Primero;1995;..
Total Nacional;Española;Primero;1994;..
Total Nacional;Española;Primero;1993;..
Total Nacional;Española;Primero;1992;..
Total Nacional;Española;Primero;1991;..
Total Nacional;Española;Primero;1990;..
Total Nacional;Española;Primero;1989;..
Total Nacional;Española;Primero;1988;..
Total Nacional;Española;Primero;1987;..
Total Nacional;Española;Primero;1986;..
Total Nacional;Española;Primero;1985;..
Total Nacional;Española;Primero;1984;..
Total Nacional;Española;Primero;1983;..
Total Nacional;Española;Primero;1982;..
Total Nacional;Española;Primero;1981;..
Total Nacional;Española;Primero;1980;..
Total Nacional;Española;Primero;1979;..
Total Nacional;Española;Primero;1978;..
Total Nacional;Española;Primero;1977;..
Total Nacional;Española;Primero;1976;..
Total Nacional;Española;Primero;1975;..
Total Nacional;Española;Segundo;2024;0,39
Total Nacional;Española;Segundo;2023;0,4
Total Nacional;Española;Segundo;2022;0,4
Total Nacional;Española;Segundo;2021;0,42
Total Nacional;Española;Segundo;2020;0,41
Total Nacional;Española;Segundo;2019;0,43
Total Nacional;Española;Segundo;2018;0,45
Total Nacional;Española;Segundo;2017;0,47
Total Nacional;Española;Segundo;2016;0,48
Total Nacional;Española;Segundo;2015;0,48
Total Nacional;Española;Segundo;2014;0,46
Total Nacional;Española;Segundo;2013;0,44
Total Nacional;Española;Segundo;2012;0,46
Total Nacional;Española;Segundo;2011;0,47
Total Nacional;Española;Segundo;2010;0,47
Total Nacional;Española;Segundo;2009;0,47
Total Nacional;Española;Segundo;2008;0,5
Total Nacional;Española;Segundo;2007;0,43
Total Nacional;Española;Segundo;2006;0,47
Total Nacional;Española;Segundo;2005;0,46
Total Nacional;Española;Segundo;2004;0,46
Total Nacional;Española;Segundo;2003;0,45
Total Nacional;Española;Segundo;2002;0,44
Total Nacional;Española;Segundo;2001;..
Total Nacional;Española;Segundo;2000;..
Total Nacional;Española;Segundo;1999;..
Total Nacional;Española;Segundo;1998;..
Total Nacional;Española;Segundo;1997;..
Total Nacional;Española;Segundo;1996;..
Total Nacional;Española;Segundo;1995;..
Total Nacional;Española;Segundo;1994;..
Total Nacional;Española;Segundo;1993;..
Total Nacional;Española;Segundo;1992;..
Total Nacional;Española;Segundo;1991;..
Total Nacional;Española;Segundo;1990;..
Total Nacional;Española;Segundo;1989;..
Total Nacional;Española;Segundo;1988;..
Total Nacional;Española;Segundo;1987;..
Total Nacional;Española;Segundo;1986;..
Total Nacional;Española;Segundo;1985;..
Total Nacional;Española;Segundo;1984;..
Total Nacional;Española;Segundo;1983;..
Total Nacional;Española;Segundo;1982;..
Total Nacional;Española;Segundo;1981;..
Total Nacional;Española;Segundo;1980;..
